Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
3/1/2020,            23°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/2/2020,            24°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/3/2020,            24°C,            28°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/4/2020,            23°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/5/2020,            23°C,            27°C,            15 Km/h,            N/A,"            28,1mm",            N/A,            N/A,            ,            Mưa
3/6/2020,            22°C,            28°C,            N/A,            N/A,            1mm,            N/A,            N/A,            ,            Mưa
3/7/2020,            23°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/8/2020,            24°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/9/2020,            24°C,            37°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/10/2020,            24°C,            34°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/11/2020,            24°C,            29°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/12/2020,            24°C,            31°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/13/2020,            25°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/14/2020,            24°C,            29°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/15/2020,            24°C,            30°C,            15 Km/h,            N/A,"            1,2mm",            N/A,            N/A,            ,            Mưa
3/16/2020,            24°C,            30°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/17/2020,            24°C,            29°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/18/2020,            24°C,            30°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/19/2020,            24°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/20/2020,            25°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/21/2020,            24°C,            31°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/22/2020,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/23/2020,            22°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/24/2020,            23°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/25/2020,            25°C,            31°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/26/2020,            24°C,            31°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
3/27/2020,            25°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/28/2020,            25°C,            33°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/29/2020,            25°C,            32°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/30/2020,            25°C,            33°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/31/2020,            25°C,            33°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/1/2020,            25°C,            31°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/2/2020,            25°C,            33°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/3/2020,            25°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/4/2020,            26°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/5/2020,            24°C,            32°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/6/2020,            24°C,            30°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/7/2020,            24°C,            28°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/8/2020,            24°C,            29°C,            34 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/9/2020,            24°C,            30°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/10/2020,            24°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/11/2020,            25°C,            32°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/12/2020,            21°C,            33°C,            21 Km/h,            N/A,            5mm,            N/A,            N/A,            ,            Mưa
4/13/2020,            21°C,            25°C,            N/A,            N/A,"            33,5mm",            N/A,            N/A,            ,            Mưa
4/14/2020,            22°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/15/2020,            23°C,            30°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/16/2020,            24°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/17/2020,            25°C,            31°C,            21 Km/h,            N/A,            N/A,            N/A,            N/A,            ,            Mưa
4/18/2020,            25°C,            33°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/19/2020,            25°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/20/2020,            25°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/21/2020,            26°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/22/2020,            26°C,            31°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
4/23/2020,            26°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/24/2020,            22°C,            28°C,            13 Km/h,            N/A,"            56,8mm",            N/A,            N/A,            ,            Giông bãoMưa
4/25/2020,            22°C,            26°C,            15 Km/h,            N/A,"            6,3mm",            N/A,            N/A,            ,            Mưa
4/26/2020,            22°C,            28°C,            13 Km/h,            N/A,            3mm,            N/A,            N/A,            ,            Mưa
4/27/2020,            22°C,            29°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/28/2020,            22°C,            30°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/29/2020,            23°C,            31°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/30/2020,            24°C,            33°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/1/2020,            25°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/2/2020,            25°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/3/2020,            25°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/4/2020,            25°C,            34°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/5/2020,            25°C,            33°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/6/2020,            26°C,            34°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/7/2020,            26°C,            33°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/8/2020,            26°C,            34°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/9/2020,            25°C,            33°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/10/2020,            25°C,            34°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/11/2020,            26°C,            33°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/12/2020,            26°C,            34°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/13/2020,            26°C,            34°C,            9 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/14/2020,            25°C,            33°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/15/2020,            25°C,            34°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/16/2020,            26°C,            34°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/17/2020,            27°C,            34°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/18/2020,            26°C,            36°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/19/2020,            27°C,            38°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
5/20/2020,            27°C,            38°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/21/2020,            27°C,            40°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/22/2020,            28°C,            40°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/23/2020,            27°C,            37°C,            28 Km/h,            42 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/24/2020,            27°C,            35°C,            16 Km/h,            N/A,            2mm,            N/A,            N/A,            ,            Giông bãoMưa
5/25/2020,            27°C,            39°C,            15 Km/h,            N/A,            2mm,            N/A,            N/A,            ,            Mưa
5/26/2020,            27°C,            38°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/27/2020,            24°C,            35°C,            34 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/28/2020,            24°C,            33°C,            21 Km/h,            26 Km/h,            52mm,            N/A,            N/A,            ,            Giông bãoMưa
5/29/2020,            25°C,            34°C,            24 Km/h,            N/A,"            10,1mm",            N/A,            N/A,            ,            Giông bãoMưa
5/30/2020,            26°C,            36°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/31/2020,            26°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/1/2020,            26°C,            37°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
6/2/2020,            26°C,            36°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/3/2020,            26°C,            35°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/4/2020,            26°C,            37°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
6/5/2020,            26°C,            37°C,            18 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bãoMưa
6/6/2020,            27°C,            38°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/7/2020,            28°C,            39°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/8/2020,            27°C,            39°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/9/2020,            26°C,            35°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/10/2020,            25°C,            35°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/11/2020,            25°C,            34°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/12/2020,            27°C,            36°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/13/2020,            26°C,            37°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/14/2020,            27°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/15/2020,            27°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
6/16/2020,            27°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
6/17/2020,            27°C,            35°C,            21 Km/h,            34 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/18/2020,            26°C,            37°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/19/2020,            27°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/20/2020,            26°C,            34°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/21/2020,            26°C,            38°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/22/2020,            26°C,            36°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/23/2020,            26°C,            38°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/24/2020,            27°C,            38°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/25/2020,            27°C,            36°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/26/2020,            27°C,            37°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/27/2020,            25°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/28/2020,            25°C,            35°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/29/2020,            26°C,            36°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/30/2020,            26°C,            36°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/1/2020,            26°C,            35°C,            N/A,            N/A,"            12,1mm",            N/A,            N/A,            ,            Giông bãoMưa
7/2/2020,            26°C,            36°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
7/3/2020,            26°C,            37°C,            N/A,            N/A,"            0,7mm",            N/A,            N/A,            ,            Giông bãoMưa
7/4/2020,            25°C,            36°C,            22 Km/h,            N/A,"            29,9mm",            N/A,            N/A,            ,            Giông bãoMưa
7/5/2020,            25°C,            34°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/6/2020,            26°C,            34°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/7/2020,            27°C,            37°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/8/2020,            26°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/9/2020,            27°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/10/2020,            28°C,            38°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/11/2020,            25°C,            39°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/12/2020,            26°C,            36°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/13/2020,            26°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/14/2020,            25°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/15/2020,            25°C,            34°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/16/2020,            25°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/17/2020,            25°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/18/2020,            25°C,            36°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/19/2020,            25°C,            37°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/20/2020,            26°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/21/2020,            26°C,            34°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/22/2020,            26°C,            34°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/23/2020,            25°C,            35°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/24/2020,            25°C,            36°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/25/2020,            25°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/26/2020,            25°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/27/2020,            26°C,            37°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/28/2020,            25°C,            35°C,            24 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Giông bãoMưa
7/29/2020,            26°C,            36°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/30/2020,            27°C,            35°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
7/31/2020,            26°C,            29°C,            9 Km/h,            N/A,"            12,4mm",            N/A,            N/A,            ,            Mưa
8/1/2020,            26°C,            32°C,            15 Km/h,            N/A,"            6,6mm",            N/A,            N/A,            ,            Mưa
8/2/2020,            26°C,            36°C,            26 Km/h,            N/A,"            1,7mm",            N/A,            N/A,            ,            Mưa
8/3/2020,            27°C,            34°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/4/2020,            27°C,            34°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/5/2020,            25°C,            36°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
8/6/2020,            26°C,            34°C,            N/A,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/7/2020,            26°C,            34°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/8/2020,            26°C,            35°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/9/2020,            26°C,            35°C,            16 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Giông bãoMưa
8/10/2020,            26°C,            37°C,            N/A,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/11/2020,            26°C,            37°C,            26 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Giông bãoMưa
8/12/2020,            25°C,            35°C,            29 Km/h,            N/A,"            42,9mm",            N/A,            N/A,            ,            Giông bãoMưa
8/13/2020,            26°C,            33°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
8/14/2020,            26°C,            33°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/15/2020,            25°C,            34°C,            26 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Giông bãoMưa
8/16/2020,            24°C,            35°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
8/17/2020,            25°C,            34°C,            16 Km/h,            N/A,"            12,7mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/18/2020,            25°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
8/19/2020,            25°C,            35°C,            26 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Giông bãoMưa
8/20/2020,            25°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/21/2020,            25°C,            33°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/22/2020,            25°C,            34°C,            22 Km/h,            N/A,            N/A,            N/A,            N/A,            ,            Giông bãoMưa
8/23/2020,            25°C,            35°C,            21 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Giông bãoMưa
8/24/2020,            26°C,            37°C,            15 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/25/2020,            27°C,            37°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/26/2020,            28°C,            38°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/27/2020,            26°C,            35°C,            16 Km/h,            N/A,            N/A,            N/A,            N/A,            ,            Mưa
8/28/2020,            26°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/29/2020,            25°C,            36°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/30/2020,            25°C,            35°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
8/31/2020,            26°C,            35°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/3/2020,            26°C,            35°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/4/2020,            26°C,            36°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
9/5/2020,            26°C,            37°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
9/6/2020,            26°C,            37°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/7/2020,            25°C,            38°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
9/8/2020,            25°C,            36°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
9/9/2020,            25°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
9/10/2020,            25°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/11/2020,            25°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/12/2020,            25°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/13/2020,            26°C,            35°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/14/2020,            26°C,            36°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/15/2020,            26°C,            35°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/16/2020,            27°C,            36°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/17/2020,            24°C,            29°C,            29 Km/h,            N/A,"            23,6mm",            N/A,            N/A,            ,            Giông bãoMưa
9/18/2020,            24°C,            32°C,            34 Km/h,            54 Km/h,"            284,9mm",            N/A,            N/A,            ,            Giông bãoMưa
9/19/2020,            26°C,            34°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
9/20/2020,            26°C,            32°C,            13 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/21/2020,            26°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
9/22/2020,            25°C,            34°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/23/2020,            25°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/24/2020,            25°C,            34°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/25/2020,            25°C,            35°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/26/2020,            25°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/27/2020,            25°C,            34°C,            13 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bãoMưa
9/28/2020,            26°C,            34°C,            16 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bão
9/29/2020,            26°C,            35°C,            24 Km/h,            N/A,            N/A,            N/A,            N/A,            ,            Giông bãoMưa
9/30/2020,            26°C,            35°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/1/2020,            26°C,            34°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
10/2/2020,            26°C,            34°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
10/3/2020,            26°C,            32°C,            13 Km/h,            N/A,"            2,2mm",            N/A,            N/A,            ,            Giông bãoMưa
10/4/2020,            25°C,            33°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
10/5/2020,            25°C,            33°C,            28 Km/h,            N/A,"            11,9mm",            N/A,            N/A,            ,            Giông bãoMưa
